BRAND,LIFESTAGE,PREMIUM_CUSTOMER,TOTAL_SALES,TOTAL_UNITS,UNIQUE_CUSTOMERS,TRANSACTIONS,BRAND_TOTAL_SALES,SEG_SHARE_OF_BRAND,AVG_SPEND_PER_CUSTOMER
Woolworths,NEW FAMILIES,Mainstream,350.3,198,109,118,49343.6,0.007099198274953591,3.2137614678899085
Woolworths,NEW FAMILIES,Premium,276.59999999999997,153,73,84,49343.6,0.0056055901879879045,3.7890410958904104
Woolworths,OLDER FAMILIES,Budget,5130.3,2892,1125,1486,49343.6,0.10397093037394921,4.560266666666667
Woolworths,OLDER FAMILIES,Mainstream,3225.0,1817,689,932,49343.6,0.06535802008771148,4.680696661828737
Woolworths,OLDER FAMILIES,Premium,2711.9,1525,593,781,49343.6,0.05495950842662473,4.57318718381113
Woolworths,OLDER SINGLES/COUPLES,Budget,3073.2,1736,767,922,49343.6,0.062281633281722454,4.006779661016949
Woolworths,OLDER SINGLES/COUPLES,Mainstream,3636.2,2051,908,1084,49343.6,0.07369142097455395,4.004625550660792
Woolworths,OLDER SINGLES/COUPLES,Premium,2971.2999999999997,1680,729,886,49343.6,0.06021652250747817,4.075857338820302
Woolworths,RETIREES,Budget,2302.1,1292,600,691,49343.6,0.046654480013618785,3.8368333333333333
Woolworths,RETIREES,Mainstream,3817.2999999999997,2173,981,1170,49343.6,0.07736160312583597,3.891233435270132
Woolworths,RETIREES,Premium,1945.7,1103,495,589,49343.6,0.039431658816948906,3.930707070707071
Woolworths,YOUNG FAMILIES,Budget,4144.5,2339,921,1206,49343.6,0.08399265558248689,4.5
Woolworths,YOUNG FAMILIES,Mainstream,2916.7,1653,654,848,49343.6,0.05910999602785366,4.459785932721712
Woolworths,YOUNG FAMILIES,Premium,2439.7,1377,543,705,49343.6,0.04944308887069448,4.493001841620626
Woolworths,YOUNG SINGLES/COUPLES,Budget,2236.1,1265,643,734,49343.6,0.045316920532754,3.4776049766718504
Woolworths,YOUNG SINGLES/COUPLES,Mainstream,1929.8,1089,526,599,49343.6,0.03910942857837693,3.6688212927756654
Woolworths,YOUNG SINGLES/COUPLES,Premium,1542.7,870,427,498,49343.6,0.03126443956257752,3.61288056206089
